park,agency,park_zip,park_lat,park_lon,qpartysize25,qpartysize50,qpartysize75,qleadt25,qleadt50,qleadt75,qdur25,qdur50,qdur75,qdist25,qdist50,qdist75,res_count,sum_dur,sum_persnight
HOYER,USFS,   NaN,34.0433333,-109.4586111,2,3,5,9,21,45,3,3,5,227,239.6,255.5,3295,13167,47531
HUGH SMITH LAKE CABIN,USFS,   NaN,55.0941667,-130.6444444,2,4,4,19,36.5,62,4,6.5,7,72.3,2734.7,5249.9,30,170,627
HULL CABIN,USFS,   NaN,35.9680556,-111.9463889,2,4,5,23,55,105,1,2,3,273.3,648.4,1909.1,250,544,2219
HUMBUG CAMPGROUND,USFS,   NaN,44.7706528,-122.0773167,2,4,6,6,11,18,2,2,2,81.4,94.1,104.2,135,288,1210
HUME LAKE,USFS,94301,36.7947222,-118.9047222,3,5,6,19,85,171,2,3,4,229.4,301.3,348.5,13966,46479,233329
HUMPBACK LAKE CABIN,USFS,   NaN,55.0275,-130.54,2,3,4,8.5,50,145.8,2,3,5,82.3,1052.5,3140,51,177,541
HUNGERFORD EQUESTRIAN GROUP CAMPSITE,USFS,   NaN,43.7166667,-85.6244444,14,25,31.2,17,65,147,2,2,4,35.2,59.3,86.3,57,160,4346
HUNGRY GULCH,USFS,94301,35.6719444,-118.4722222,5,6,6,5,16,35,2,2,3,166.1,188.8,205.7,3290,8131,43597
HUNTER COVE,USACE,   NaN,40.0830556,-99.2277,1,3,4,0,0,21,2,2,3,45.9,82.2,167.5,15133,41262,135537
HUNTER PEAK,USFS,   NaN,44.8847222,-109.6544444,2,4,5,14,53,149.2,1,2,3,129.3,652.2,1296.7,993,2513,9551
HUNTER TRAILHEAD,USFS,82834,44.3341667,-106.9736111,2,2,4,23,116,175,3,5,7,362.5,1188.3,1489.6,487,2770,7845
HUNTERS GROUP SITE,NPS,99122,48.124625,-118.3119028,15,20,25,93,214.5,362,2,3,4,74.4,86.8,184.3,464,1580,30787
HUNTERS SPRING CABIN,USFS,   NaN,46.6825,-110.4947222,3,5,7,11,31,69.8,2,2,3,113.7,178.8,198.7,165,415,1929
HURRICANE BRIDGE,USACE,38569,36.0288889,-85.7475,30,40,50,5.2,16,357.8,NaN,NaN,NaN,27,36.7,91.5,23,0,0
HURRICANE CAMPGROUND,USFS,24354,36.7225,-81.4905556,2,4,5,8,21,48,2,2,3,140.4,234.3,422.9,1013,2785,11322
HURRICANE CREEK,USACE,   NaN,36.92,-87.9758333,2,3,5,2,18,111,2,3,5,45.4,64,124.8,8165,32829,118564
HUTCHINS,USFS,   NaN,39.8830556,-121.1991667,20,25,25,43.5,102,192.3,2,3,4,98.8,135.7,171,279,872,18647
HYALITE PAVILION,USFS,   NaN,45.4824472,-110.970925,33.8,50,80,24.2,58,117,NaN,NaN,NaN,20.4,26.6,56.3,33,0,0
Haleakala National Park (Cabin Permits),NPS,   NaN,20.7097222,-156.1644444,1,1,1,113,164,181,NaN,NaN,NaN,26.7,51.9,3773.9,2455,0,0
Hause Creek Campground,USFS,   NaN,46.6755556,-121.0763889,2,4,6,7,17,47,2,2,3,109.3,137.9,151.5,2138,5197,22362
Henneberry House,BLM,   NaN,45.0763889,-112.7902778,4,6,8,20,55,98,1,2,3,140.1,169.6,246.8,58,117,663
Horseshoe Cove Campground,USFS,   NaN,48.6719444,-121.6763889,3,4,8,16,63,144,2,2,3,69.5,94,121.4,4906,13256,89315
Horsethief Group Site,BLM,   NaN,38.5843111,-109.8142389,15,15,18.8,146,167,260.8,1.5,3,3,236.2,236.2,706.4,3,7,110
Howell Run Picnic Area,USACE,   NaN,39.4169444,-79.1272222,30,30,30,27,71,167,1,1,1,8.4,10.4,37.1,91,2,60
Hyatt Lake Recreation Area,BLM,   NaN,42.1669778,-122.4641333,2,3,5,3,10,37,2,2,3,32.2,47.8,305.9,1117,3215,12426
IBEX CABIN,USFS,   NaN,46.0030556,-110.4413889,2,3,4,12,33,75,1,2,2,53.3,70.6,155.1,635,1194,3558
ICE CAP CAMPGROUND,USFS,   NaN,44.3402778,-121.9991667,2,4,5,7.7,14,26.5,2,2,3,89.2,105.7,140.9,189,407,1736
ICE HOUSE,USFS,   NaN,38.8233333,-120.3588889,4,6,6,25,97,173,2,3,3,80.2,100,178.5,9814,28898,148066
ICICLE GROUP CAMPGROUND,USFS,   NaN,47.5861111,-120.8070278,10,15,20,28,140,238.5,2,2,3,111.2,116.2,119,56,122,2090
IDLEWILD,USFS,97738,43.7997222,-118.9888889,34.5,48.5,60,16,30,87.5,NaN,NaN,NaN,35.3,61.5,62.1,48,0,0
IMNAHA GUARD STATION,USFS,   NaN,42.7083333,-122.325,2,3,4,68,140,176,2,2,3,68.7,194.1,316,401,1052,3432
INDIAN BOUNDARY,USFS,37385,35.4016667,-84.1072222,2,4,5,19,51,124,2,3,4,31.5,50.4,73.9,20221,72689,264332
INDIAN CELINA LAKE,USFS,47421,38.1991667,-86.5983333,2,3,5,7,18,45,2,2,3,39,82.3,220.3,1319,3192,12037
INDIAN COVE CAMPGROUND,NPS,   NaN,34.12,-116.1558333,4,4,6,17,61,152,1,2,2,155.1,178.9,214,50264,104658,755684
INDIAN CREEK (MO),USACE,   NaN,39.5391667,-91.7330556,2,4,7,0,0,21,2,3,4,55.6,100.3,149.9,26587,88682,375576
INDIAN CREEK (UT),USFS,   NaN,39.4427778,-111.2375,18,30,50,23,114,202.2,2,3,4,51.4,118.3,153.2,309,1016,31362
INDIAN CREEK CAMPGROUND,USACE,   NaN,36.4186194,-93.8882028,3,5,7,0,0,0,2,3,5,18,40.7,105.3,3311,12409,63973
INDIAN CREEK EQUESTRIAN CAMPGROUND,USFS,91355,39.3916667,-105.1088889,2,3,4,7,17,62,2,2,3,31.2,43.2,66.4,628,1513,5358
INDIAN CREEK GUARD STATION,USFS,   NaN,39.1408333,-111.4580556,4,6,8,33,86,156,2,3,4,136.1,169.5,209.2,134,416,2399
INDIAN FLAT GROUP SITE,USFS,   NaN,46.9811111,-121.1397222,20,30,50,186.2,347,363.8,2,3,4,54.9,86.1,107.5,199,638,23361
INDIAN FLATS CABIN,USFS,59644,46.8222222,-111.6794444,2,3,4,6,25,75,1,2,3,28,47,144.9,449,923,2874
INDIAN HENRY,USFS,94301,45.1080556,-122.0738889,3,4,6,11,30,77,2,2,3,53.5,61.2,71.5,4410,9905,56804
INDIAN HOLLOW,USACE,   NaN,42.3419444,-72.8494444,30,50,99.2,316,361,366,3,4,5,17.9,33.1,82.3,329,1313,72400
INDIAN POINT,USACE,   NaN,36.6311111,-93.3472222,2,2,4,0,13,60,2,3,5,80.8,230.9,364.4,22713,87213,287725
INDIAN RIDGE LOOKOUT,USFS,97413,44.0055556,-122.2536111,2,3,4,126.8,180,181,1,2,2,70.4,160.6,173.1,393,761,2225
INDIAN ROAD GROUP USE SHELTER,BOR,   NaN,46.332825,-111.5286111,22.5,32.5,50,21.5,29.5,43.5,1,1,1,20.7,20.7,36,16,1,70
INDIAN SCOTTY GROUP SITE,USFS,   NaN,41.6322222,-123.0819444,15,24,50,28.8,116,191,2,3,4,71.1,353.6,413.7,109,366,10516
INDIAN SPRINGS,USFS,   NaN,39.3293389,-120.5694306,4,6,6,7,14,25,2,2,3,82.4,115.3,216,1576,3640,17193
INDIAN TREES CAMPGROUND,USFS,   NaN,45.7511111,-113.9508333,2,2,4,8,19,57.8,1,2,3,126,344.2,1010.8,263,565,1895
INDIAN VALLEY,USFS,   NaN,39.5133333,-120.9833333,3,5,6,18,58,141,2,3,4,81.2,186,220.1,2706,9246,45445
INTERROREM CABIN,USFS,98376,47.6805556,-122.9925,2,3,4,22.5,65,134,1,2,2,51.1,68.5,239,1004,1996,5735
IRON CREEK HORSE CAMP,USFS,   NaN,43.8183333,-103.4738889,2,2,3,24.8,84,151.2,3,4,5,550,807.3,959.3,557,2352,5693
IRON LAKE,USFS,   NaN,48.0677778,-90.6147222,2,3,5,13,39.5,108,1,3,5,368.6,398.5,445.2,404,1543,5936
IRON LAKE A-FRAME,USFS,   NaN,44.9069444,-114.1933333,2,4,6,4,16,61,1,2,4,63.7,230.8,329.7,66,171,615
IRON MINE,USFS,   NaN,40.5541667,-110.8866667,4,6,8,9,21,89,2,3,3,81.6,90.6,97.9,953,2638,31572
IRON MOUNTAIN,USACE,   NaN,34.2269444,-93.1277778,1,2,4,0,0,4,2,3,4,67.4,99.6,175.9,3926,14103,40802
IRON RIDGE - LAKE VESUVIUS,USFS,   NaN,38.6083333,-82.6166667,2,4,5,7,15,33.2,2,3,4,8.7,22.9,151.5,1245,3980,15075
IRON SPRINGS GROUP ASHLEY,USFS,   NaN,40.7022222,-109.5577778,40,50,50,89.5,192.5,341.5,2,3,4,60.2,60.2,184.3,252,810,37522
IRONWOOD GROUP CAMP,USFS,94301,34.3038889,-117.0119444,15,20,25,17,37,65,2,2,2,90.8,112.4,128.4,106,205,4029
ISAAC CREEK,USACE,36726,31.6222222,-87.5502778,1,2,4,0,3,18,2,3,5,33.1,84,131,13226,55371,164873
ISLAND LAKE,USFS,   NaN,46.2708333,-86.6513889,2,2,4,4,8,24,2,2,3,393.8,477.5,529.7,43,113,413
ISLAND LAKE CAMPGROUND,USFS,   NaN,39.0319444,-108.0105556,2,2,5,11,27,72,2,3,4,54.7,242.9,293.8,618,2007,8053
ISLAND PARK,USACE,93657,36.8646444,-119.3157278,2,4,8,0,4,22,1,2,3,38.5,63.5,266.2,9927,21648,127709
ISLAND PARK CAMPGROUND,USFS,59718,44.2052778,-107.2372222,2,3,4.3,11,20,38,2,2,3,139.6,172.4,660.7,221,674,2459
ISLAND VIEW (RATHBUN LAKE),USACE,   NaN,40.8325,-92.9179722,2,3,5,0,0,60,2,3,5,23.7,52.6,109.7,20659,79009,325778
ITALIO RIVER CABIN,USFS,99689,59.2972222,-139.0858333,2,4,5,7,129,183,3,5,7,608.9,1888,2827.8,139,673,2783
IVES RUN,USACE,16946,41.8869444,-77.1791667,2,3,4,9,57,170,2,3,5,36,76.8,140.9,37715,146642,479388
Indian Creek (WA),USFS,   NaN,46.645,-121.2425,2,4,6,8,19,46,2,2,3,80.9,132.1,155.4,2314,5623,23000
Inyo National Forest - Wilderness Permits,USFS,93514,37.3527778,-118.4027778,1,2,3,0,1,35,NaN,NaN,NaN,320.2,361.6,437.1,52488,0,0
Iron Creek Campground,USFS,97408,46.4297222,-121.9869444,2,4,6,10,27,87,2,2,3,94.7,122.4,164.3,6845,17054,70636
JACK BAY CABIN,USFS,   NaN,61.0003,-146.5101333,2,4,4,14,65.5,160,1,3,4,172.7,418,445.4,262,781,2710
JACK CREEK CREW QUARTERS,USFS,   NaN,41.27,-107.1116667,9,12,15,80.5,151,180,2,3,4,187.9,234.3,882.8,167,628,6929
JACK CREEK GUARD STATION,USFS,   NaN,41.27,-107.1116667,2,3,4,14,46.5,117,2,2,3,189.7,208.1,379.3,182,579,1778
JACKASS MEADOW,USFS,94301,37.2797222,-118.9636111,3,5,6,6,16,41,2,3,4,126.2,284.3,364.2,2500,7313,37459
JACKRABBIT MOUNTAIN,USFS,   NaN,35.0106472,-83.7830556,3,4,6,6,20,67,2,3,4,49.9,88,122.6,8519,29664,136773
JACKS CREEK GROUP AREA,USFS,   NaN,35.8416667,-105.6555556,20,30,40,31,87,180.2,1.8,2,3,98.9,116.6,303.9,361,841,22361
JACKS GULCH,USFS,84097,40.6368361,-105.5269472,2,4,21,26,75,167,2,2,3,42.6,63.7,106.5,475,1193,16287
JACKSON FLATS,USFS,   NaN,34.3608333,-117.7991667,25,30,40,21,50,120.2,1,2,2,45.4,59.1,70.5,725,1266,38944
JACKSON GUARD STATION,USFS,   NaN,38.2133333,-107.5232444,2,3,4,13.5,36.5,79.5,2,3,4,154.4,276.1,1131.6,84,265,803
JACOB LAKE RECREATION AREA,USFS,   NaN,36.7,-112.2097222,2,3,5,9,20,43,1,2,2,369.4,637.9,1735.5,3217,6306,37014
JARVIES BOAT IN GROUP,USFS,84097,40.9319444,-109.4805556,12,20,25,145.5,181,190.5,2,3,4,197.5,206.3,215.3,160,537,11532
JARVIES FAMILY BOAT IN,USFS,84097,40.9294444,-109.4777778,4,7,10,29,109,167,2,3,4,198.2,207.9,216.7,515,1625,10930
JEANETTE LAKE,USFS,   NaN,48.1322222,-92.2958333,2,3,5,18,52,128.2,1,2,4,301,359.5,406.8,637,1898,6768
JEFFERSON CREEK,USFS,   NaN,39.4369444,-105.8608333,3,4,8,19,52,123,2,2,3,71.3,81.1,94.2,2678,6435,31504
JEFFERSON RIDGE,USACE,   NaN,34.1072222,-94.0505556,1,3,4,0,0,10,2,4,8,19.5,64.9,107.8,9297,64487,189631
JEFFERSON SPRINGS,USACE,37214,36.0002778,-86.4727778,30,43,50,11.5,22,40,NaN,NaN,NaN,7.3,8.1,19.5,156,0,0
JEMEZ FALLS (NM) PICNIC AREA,USFS,   NaN,35.8169444,-106.6061111,48,50,75,27,71,154.5,1,1,1.5,60.5,75.8,81.4,112,5,300
JENNINGS FERRY,USACE,   NaN,32.8078083,-87.8112056,1,2,4,0,6,31,2,3,4,41.4,56.9,140.1,10762,36641,112579
JESS JUDY,USFS,   NaN,38.8956944,-79.24625,12.2,20,40,24.2,67,125,2,2,3,103.2,130.3,184,303,694,17276
JIM CREEK GROUP CAMPGROUND,USFS,   NaN,42.8648,-122.5119,8,15,20,24.5,62,122.5,2,3,3,70.7,159.6,293.6,35,103,1618
JIM HOGG PARK,USACE,   NaN,30.6816667,-97.7330556,2,3,5,0,0,7,1,2,4,18,23.8,116.2,29200,106256,350959
JIMS LAKE CABIN,USFS,99801,57.5819389,-134.2739278,2,3,4,9,88.5,173,3,4,6,79.8,89.1,305,42,182,575
JOE GRAHAM HORSE CAMPGROUND,USFS,94301,45.1002778,-121.7458333,2,4,6,17,78,151.5,2,2,3,58.5,72.8,100.3,1064,2875,10167
JOES VALLEY PAVILION GROUP SITE A,USFS,   NaN,39.3063889,-111.2869444,30,50,98,58.8,118,170,2,3,3.8,45.8,127.4,161,119,339,18738
JOES VALLEY RESERVOIR,USFS,   NaN,39.2951,-111.2923,3,5,8,11,28,75,2,3,3,88.6,151.2,169.7,2596,7850,44596
JOHN C. BRISCOE GROUP USE,USACE,   NaN,39.5188889,-91.6458333,1,7,8,0,0,0,2,2,3,50.5,101.7,225.3,856,2194,14049
JOHN F KENNEDY,USACE,   NaN,35.5159389,-91.9964694,1,2,3,0,0,18,2,3,4,64,99.7,175.1,23066,80976,204582
JOHN MUIR CABIN,USFS,   NaN,58.4094444,-134.6966667,2,4,6,15,52,127.5,1,1,1,30.5,30.5,30.5,1580,1910,8381
JOHN SPALDING REC AR,USACE,   NaN,39.5541667,-91.6588889,39,51,100,26.8,75,166,1,1,1.8,13.6,29.9,77.2,265,4,270
JOHN W. FLANNAGAN DAY USE,USACE,24256,37.2365278,-82.3444722,31,50,90,25.2,79,241.8,NaN,NaN,NaN,7.2,11.2,11.9,195,0,0
JOHNSON BAR GROUP SITE,USFS,59847,46.1036111,-115.5591667,20,25,35,136,321,360,2,3,4,53.6,102.7,131.9,161,566,16150
JOHNSON CREEK,USACE,   NaN,33.9991667,-96.5694444,1,2,4,0,10,68,2,3,5,35.5,108.3,179.7,6849,29451,78391
JOHNSON CREEK CAMP,USACE,   NaN,32.7869722,-94.5506694,1,2,4,0,1,19,2,3,4,34,53.7,111.3,19978,85663,259425
JOHNSON CREEK DAY USE,USACE,   NaN,32.7891667,-94.5480556,35.8,50,83.3,22.8,52,88,1,1,1,30.2,41.3,147.5,97,5,270
JOHNSON CREEK GUARD STATION,USFS,   NaN,44.9280556,-115.4775,2,3,4,33,102,165.2,2,2,3,155.7,165.2,332.6,173,443,1336
JOHNSON GUARD STATION,USFS,   NaN,42.7211111,-111.2072222,3,5,6,6,22,165,1,2,5,96.3,126.7,234.7,162,605,3125
JONES CORRAL GUARD STATION,USFS,   NaN,38.0710917,-112.1679778,2,4,4,6,28.5,79,1,2,3,221.1,313.6,714.1,160,515,1736
JOPLIN,USACE,71968,34.5752778,-93.4402778,1,3,6,0,0,19,2,3,4,70.6,103.1,147.3,5708,19844,84626
JORDAN LAKE CABIN,USFS,   NaN,55.5976111,-131.562875,2,3,4,6,41.5,157,1,2,5,10.8,658,1976.9,302,991,3124
JORDAN PINES,USFS,   NaN,40.6455556,-111.6461111,54.2,100,100,67.2,172,249.8,1,1,1,20.2,25.6,32.7,675,767,69205
JOSEPHINE LAKE CABIN,USFS,   NaN,55.2480556,-132.5536111,2,3,4,4.5,36,137.5,2,3,5,68.7,82.5,82.5,40,146,434
JUANITA LAKE GROUP CAMPSITE,USFS,   NaN,41.8161111,-122.1216667,12,22.5,37.5,40,71,155,2,3,3,18.9,49.4,208.9,72,193,5484
JUDITH GUARD STATION,USFS,   NaN,46.8483333,-110.2905556,4,6,8,11,35,103.5,2,2,3,84.8,136.2,179.8,371,838,4857
JULIAN PRICE (BLUE RIDGE PKWY),NPS,   NaN,36.1388889,-81.7311111,2,3,4,5,14,36,1,2,2,98.3,146.1,272.4,15118,32958,104631
JUMBO CAMPGROUND,USFS,   NaN,39.0530556,-108.0936111,2,2,4,10,25,68,2,3,4,41.9,125.9,291,1500,4705,16219
JUNCTION CREEK CAMPGROUND,USFS,91355,37.3361111,-107.915,2,3,5,11,28,70,2,2,4,270.9,398.8,1095.1,2834,8439,33297
JUNE LAKE,USFS,94301,37.7819444,-119.0738889,2,4,6,18,62,135,1,2,3,284.8,414.3,467.9,6141,15592,61323
JUNEAU LAKE CABIN,USFS,   NaN,60.5769444,-149.8697222,2,4,6,34,124,180,1,1,2,56.8,66.5,71.9,1195,1766,7324
JUNIPER CAMPGROUND,NPS,   NaN,35.7961111,-106.2791667,10,15,20,6,19,45,1,1,2,76.4,229.3,1093.4,162,271,4130
JUNIPER FLATS GROUP CAMPSITE on GRAND ISLAND,USFS,   NaN,46.4866667,-86.6852778,10,13.5,16,39.5,135,193,1,2,3,199.6,385.2,462.8,124,276,3658
JUNIPER LAKE GROUP,NPS,96063,40.4511111,-121.2958333,10,12,15,183,348.5,365,2,3,4,86.1,125,294.4,302,1078,13532
JUNIPER LAKE STOCK CORRAL,NPS,   NaN,40.4511111,-121.2958333,2,4,6,8,23.5,45,2,3,4,144.6,176.6,231.2,18,53,262
JUNIPER POINT,USACE,   NaN,33.8597222,-96.8319444,1,2,4,0,6,33,2,2,4,35.4,78.8,125,8010,24755,80643
JUNIPER SPRINGS GROUP CAMP,USFS,94301,34.2197222,-116.7163889,20,25,40,17,38.5,81,1,2,2,53,114.3,135.5,152,283,7343
JUNIPER SPRINGS REC AREA,USFS,   NaN,29.1822222,-81.7125,2,4,5,11,25,52,2,2,3,87.1,154,317.2,15292,40339,148727
Juniper Campground Group Site,NPS,   NaN,47.5941667,-103.3338889,10,20,24.5,37.5,93,114.2,1,2,2,182.2,646.1,1205.3,17,32,717
KABETOGAMA LAKE GROUP CAMPSITE,NPS,   NaN,48.46,-92.9213889,15,18,21.8,107.8,289,360,3,4,4,281.3,366.9,396,159,581,11286
KACHESS,USFS,   NaN,47.3548361,-121.243425,3,4,6,24,80,158,2,2,3,71.9,84.5,92.6,7572,18424,99659
KADAKE BAY CABIN,USFS,   NaN,56.7827778,-133.9872222,3,4,6,44.5,176,182,3,5,7,209.2,1867.2,2636.2,109,532,2151
KADING CABIN,USFS,59644,46.4297222,-112.4802778,2,3,4,9,27,81,1,2,2,29.6,47.3,149.1,454,936,2874
KAH SHEETS BAY CABIN,USFS,   NaN,56.5302778,-133.1419444,2,4,4,7,55.5,159,1,2,3,20.2,20.2,1555.6,182,453,1488
KAH SHEETS LAKE CABIN,USFS,   NaN,56.5480556,-133.1872222,2,4,4,12,91,180,1,3,5,18.5,1424.5,2357.2,138,468,1719
KAIBAB LAKE SITES AND GROUP AREAS,USFS,   NaN,35.2811111,-112.1569444,2,3,5,8,23,58,2,2,3,161.2,187.4,233.2,4650,13817,83388
KALALOCH,NPS,   NaN,47.6130556,-124.3747222,2,4,5,24,92,171,1,2,3,152.4,168.3,528,40135,102169,426956
KALISPELL ISLAND GROUP SITE,USFS,   NaN,48.5638889,-116.8933333,10,15,24.3,65,181,322.2,2,3,5,88,104.5,138.8,75,317,5894
KANER FLAT CAMPGROUND,USFS,   NaN,47.0113889,-12.2969444,2,3,5,4,18,47.5,2,3,3,7492.4,7508.8,7526.6,284,823,3056
KANER FLAT GROUP SITE,USFS,   NaN,47.0113889,-121.1302778,15,30,50,121.3,285,361,2,3,4,53.4,80.1,109.7,231,731,23551
KANGA BAY CABIN,USFS,   NaN,56.8791667,-135.3413889,2,4,5,2,10,43,1,2,2,24.9,24.9,24.9,408,748,3021
KANZA VIEW PICNIC SHELTER,USACE,   NaN,38.6865278,-96.49225,25,30,40,6.5,18,34,NaN,NaN,NaN,3.6,28.8,152.4,8,0,0
KARTA LAKE CABIN,USFS,   NaN,55.5613889,-132.6108333,3,4,4,48.3,176,182,3,6,7,76.9,1184.6,2081.4,207,1043,3752
KARTA RIVER CABIN,USFS,   NaN,55.5605556,-132.5761111,3,4,4,10.5,128,181,2,3,7,74.7,297.9,2131.5,245,1015,3831
KASPIAN CAMPGROUND,USFS,94301,39.1144444,-120.1586111,2,3,6,7,26,65,1,2,2,156.4,246.6,569.3,2648,5386,20495
KATHLEEN LAKE CABIN,USFS,99801,57.9044917,-134.6533556,2,3,4,15.5,121.5,176,3,4,7,46.3,59.9,59.9,56,259,918
KATY BRANCH,USFS,   NaN,36.1753833,-82.5273667,25,55,90,44,118,182,1.2,2,3,13.2,13.2,29.5,18,24,1655
KEGAN COVE CABIN,USFS,   NaN,55.0225,-132.1705556,3,4,5,6.7,59,166,2,3,5,79.6,79.6,2066.8,165,564,2232
KEGAN CREEK CABIN,USFS,   NaN,55.0216667,-132.1783333,2,4,4,20.8,104,177,2,4,7,80,1099.1,2696,85,355,1222
KELLER FERRY CAMPGROUND,NPS,   NaN,47.9267583,-118.6903639,4,5,8,30,140,181,3,4,7,115.3,220.4,275.3,3868,19290,110857
KELLER FERRY GROUP SITE,NPS,   NaN,47.9267583,-118.6903667,15,20,25,187,360,365,3,4,7,96.8,209.8,265.9,230,1222,24265
KELLEY GUARD STATION,USFS,   NaN,42.2644444,-110.7988889,2,4,4,19,58,139,2,3,5,108.5,169.2,600.9,226,699,2275
KELLY DAHL,USFS,   NaN,39.9325,-105.4977778,2,4,6,16,31,72,2,2,3,35,46.3,66.7,3067,7187,29713
KELLY FORKS CABIN,USFS,83544,46.7163889,-115.2588889,2,4,4,88.5,181,182,2,3,4,175.1,242.8,687.5,255,813,2979
KELSEY CAMPGROUND,USFS,91355,39.3163889,-105.2666667,3,4,6,10,20,47.2,2,2,3,39.4,53.8,64.2,1705,3977,17884
KELTY MEADOW,USFS,94301,37.4402778,-119.5438889,2,4,6,20,53,99,1,2,3,235.3,407.3,1162.8,1822,3921,18503
KENAI NATIONAL WILDLIFE REFUGE CABINS,FWS,99669,60.3872222,-151.0480556,2,3,4,6,39,111,1,2,2,13.2,72.1,111.7,2861,5024,15076
KENCK CABIN,USFS,   NaN,47.5061111,-112.8911111,2,4,5,12,43,109,1.5,2,3,111.6,123.3,152.1,172,380,1355
KENDALL CAMPGROUND,USACE,   NaN,36.8725,-85.1466667,2,3,5,0,12,68,2,3,4,64.7,126.6,217.4,24653,86366,309348
KENDRICK CABIN,USFS,86004,35.4222,-111.7378889,3,5,8,21,72.5,131,1,2,3,190.4,214.2,239.9,416,840,4843
KENNEL CREEK CABIN (AK),USFS,   NaN,57.9002806,-135.1575889,3,4,8,11,36,106,1,2,4,37.5,62.4,78.7,182,484,2269
KENOSHA PASS CAMPGROUND,USFS,91355,39.4130556,-105.7566667,2,4,6,11,23,53,2,2,3,69.3,78.6,88,1801,4007,17833
KENT SPRINGS CABIN,USFS,   NaN,31.7125,-110.8566667,4,7,8,37,82,138.5,1,2,2,55.7,60.2,79.6,572,1125,6834
KENTS LAKE CAMPGROUND,USFS,   NaN,38.2369667,-112.4590722,3,5,8,8,25,60.5,2,3,3,234.9,329.8,343.9,676,1867,10560
KENTUCKY CAMP CABIN AND HEADQUARTERS BUILDING,USFS,   NaN,31.7333333,-110.7166667,2,4,5,6,23,54.7,1,2,2,58.1,65.4,239.1,363,724,3004
KEOWEE PARK SHELTER ,USACE,   NaN,36.1041667,-81.2833333,20,30,40,5,18,24.7,NaN,NaN,NaN,17.9,21,27.7,47,0,0
KETTLE FALLS CAMPGROUND,NPS,99122,48.2863833,-118.1200306,2,4,6,14,31,88,2,3,4,74.8,90.5,158.1,3081,10267,44119
KETTLE FALLS LOCUST GROVE GROUP SITE,NPS,99122,48.5924111,-118.1149778,21,27,50,82.5,178,287.5,2,3,3,30.1,114,124.8,292,859,29117
KEYESPORT REC. AREA,USACE,62231,38.7333333,-89.2744444,30,40,51,5,14,38,NaN,NaN,NaN,21.9,64.2,86,34,0,0
KEYSTONE RANGER STATION,USFS,   NaN,41.1677778,-106.2525,3,5,6,17,41,105.7,2,2,3,129.7,212.7,900.9,239,583,2841
KIAMICHI PARK,USACE,   NaN,34.0025,-95.4016667,1,1,2,0,0,6,1.2,3,5,24.1,59.6,227.2,3333,13515,24358
KIASUTHA,USFS,   NaN,41.785,-78.9025,3,5,8,12,39,122.5,2,3,4,66.1,109.3,165,4492,15606,78627
KIMBALL BEND PARK,USACE,   NaN,32.1233333,-97.4980556,1,2,4.8,0,0,8,2,2,3,30.4,44.4,73.9,5459,15499,51064
KING'S MOUNTAIN POINT PICNIC PAVILION (NC),USFS,   NaN,35.455,-80.0783333,21.2,30,47.5,7,19,60.5,NaN,NaN,NaN,11.6,11.6,63.1,19,0,0
KINGFISHER,USFS,94301,44.9769444,-122.0897222,3,4,6,10,33,114,2,2,3,68.8,73.9,81.2,2397,5488,24742
KINGS CREEK,USFS,   NaN,37.6125,-112.2625,6,30,50,89.5,245.5,360,2,3,4,129,308.2,466.9,316,1110,42588
KINGS HILL CABIN,USFS,   NaN,46.8413889,-110.6941667,3,4,6,16,57.5,150,1,2,2,91.3,114.7,193.4,778,1652,7111
KINNIKINNICK,USFS,94301,37.2527778,-119.1777778,2,4,6,4,26,124,2,3,4,73.7,205.2,299,3046,10474,49564
KIOWA PARK I,USACE,   NaN,34,-98.0833333,1,3,6,0,0,21,2,3,4,39.1,51.7,69.2,9619,36553,137692
KIRBY COVE CAMPGROUND,NPS,94965,37.84035,-122.4888889,4,10,10,68,90,92,1,1,2,8.9,18,50.9,5720,7631,56906
KIRBY LANDING,USACE,   NaN,34.2316667,-93.6936111,1,3,4,0,0,0,2,4,7,60.9,103.9,139.5,10544,56908,179269
KIRK CREEK CAMPGROUND,USFS,   NaN,35.9916667,-121.4941667,2,3,5,30,81,160,1,2,3,174.6,294.4,449.6,18336,39382,158922
KIRKHAM,USFS,   NaN,44.0722222,-115.5422222,3,4,8,6,12,33,1,2,3,82.7,106.5,579.2,345,700,3505
KIT CARSON CAMPGROUND,USFS,86339,38.7767778,-119.8946111,2,3,5,15,35,67,2,2,3,119.7,214.1,252.9,436,1121,3965
KIT PRICE,USFS,   NaN,47.7408333,-116.0055556,2,4,5,19,76,165,2,3,3,58.9,90,106,2488,7197,29518
KNUTSON DAM,USFS,   NaN,47.4511111,-94.4833333,2,4,6,9,23.5,88.5,2,3,4,20.9,166.7,257.9,312,1092,4483
KOKNUK CABIN,USFS,   NaN,56.5894444,-132.4344444,3,4,4,6.5,169,183,2,3,4.8,44.9,44.9,52,39,136,488
KOOK LAKE CABIN,USFS,   NaN,57.6651944,-135.0093611,2,3,4,3,29.5,114,2,3,6,79,93.6,928.5,50,182,683
KUYKENDALL GROUP CAMP,USFS,   NaN,35.22,-82.7783333,30,50,75,145,333,363,2,2,3,22.6,45.7,177.2,443,1033,48718
